date,Ad traffic,Search engine traffic,Direct traffic,Internal traffic,Link traffic,Social network traffic,total
2026-06-20,101,28,28,2,1,0,160
2026-06-21,107,29,7,1,0,1,145
2026-06-22,159,42,21,9,0,1,232
2026-06-23,111,47,14,5,1,0,178
2026-06-24,142,41,14,4,0,0,201
2026-06-25,163,32,26,4,3,0,228
2026-06-26,153,57,20,4,1,0,235
2026-06-27,143,27,13,3,2,1,189
2026-06-28,148,22,13,11,2,1,197
2026-06-29,163,52,16,2,2,0,235
2026-06-30,169,90,22,5,0,0,286
2026-07-01,152,74,29,4,1,0,260
2026-07-02,151,74,20,9,1,1,256
2026-07-03,111,50,22,3,5,0,191
