date,users,visits
2026-06-03,162,183
2026-06-04,168,186
2026-06-05,140,156
2026-06-06,118,133
2026-06-07,176,202
2026-06-08,155,183
2026-06-09,151,170
2026-06-10,168,198
2026-06-11,148,165
2026-06-12,95,108
2026-06-13,10,13
2026-06-14,15,16
2026-06-15,16,17
2026-06-16,152,172
2026-06-17,166,183
2026-06-18,160,185
2026-06-19,161,181
2026-06-20,147,160
2026-06-21,134,145
2026-06-22,206,232
2026-06-23,166,178
2026-06-24,189,201
2026-06-25,202,228
2026-06-26,228,235
2026-06-27,177,189
2026-06-28,176,197
2026-06-29,216,235
2026-06-30,266,286
2026-07-01,233,260
2026-07-02,237,256
2026-07-03,176,191
