Год,Месяц,"Доходы, всего",Нефтегазовые доходы,Ненефтегазовые доходы,"Ненефтегазовые доходы, связанные с внутренним производством",Ненефтегазовые доходы - НДС (внутренний),Ненефтегазовые доходы - Акцизы,Ненефтегазовые доходы - Налог на прибыль,Ненефтегазовые доходы - Налог на доходы физических лиц,"Доходы, связанные с импортом","Доходы, связанные с импортом - НДС на ввозимые товары","Доходы, связанные с импортом - Акцизы на ввозимые товары","Доходы, связанные с импортом - Ввозные пошлины",Прочие доходы,"Расходы, всего",Расходы на общегосударственные вопросы,Расходы на национальную оборону,Расходы на национальную безопасность и правоохранительную деятельность,Расходы на национальную экономику,Расходы на жилищно-коммунальное хозяйство,Расходы на охрану окружающей среды,Расходы на образование,"Расходы на культуру, кинематографию",Расходы на здравоохранение,Расходы на социальную политику,Расходы на физическую культуру и спорт,Расходы на средства массовой информации,Расходы на обслуживание государственного и муниципального долга,Расходы на межбюджетные трансферты общего характера бюджетам бюджетной системы Российской Федерации,Дефицит (-)/Профицит (+),Ненефтегазовый дефицит,Источники финансирования дефицита федерального бюджета - всего,Источники внутреннего финансирования дефицита,Источники внутреннего финансирования дефицита (без учета изменения остатков на счетах),Сальдо внутреннего долга:,Привлечение,Погашение государственного внутреннего долга,Бюджетные кредиты:,Предоставление кредитов,Возврат кредитов,"Поступления от продажи акций и земельных участков, находящихся в государственной собственности",Курсовая разница,Изменение остатков на счетах ,Прочие источники внутреннего финансирования дефицита,Источники внешнего  финансирования дефицита,Привлечение кредитов и размещение ценных бумаг,Погашение внешнего долга,Другие источники внешнего финансирования,Код разреза,Код признака
2011,январь,804.9,355.6,449.3,212.0,182.5,21.3,8.2,,100.8,67.4,1.7,31.7,136.4,657.4,24.4,23.2,72.7,39.4,15.9,0.2,10.1,1.5,11.1,370.7,12.0,9.1,25.5,41.4,147.5,-208.1,-147.5,-148.0,253.6,-3.9,37.2,-41.1,0.3,0.0,0.3,7.8,-26.3,-401.6,275.7,0.5,0.1,-2.2,2.7,OKEI,386
2011,февраль,1505.6,692.3,813.3,329.0,282.2,31.1,15.7,,250.9,166.1,4.6,80.2,233.4,1427.1,59.3,186.9,155.1,119.2,22.4,1.6,44.2,6.4,72.9,597.6,12.7,11.0,49.9,87.9,78.5,-613.9,-78.5,-78.0,419.7,144.1,200.4,-56.3,-16.7,-17.0,0.3,103.7,-83.8,-497.7,272.3,-0.4,0.3,-3.6,2.9,OKEI,386
2011,март,2392.8,1134.1,1258.6,545.0,431.1,46.7,67.1,,443.2,293.2,8.7,141.3,270.5,2214.7,123.8,263.8,248.2,248.5,60.2,3.0,84.2,11.5,103.9,822.0,13.6,13.5,82.9,135.7,178.0,-956.1,-178.0,-157.2,496.3,284.5,340.8,-56.3,-38.4,-38.9,0.5,106.9,-114.3,-653.5,257.7,-20.9,0.3,-26.9,5.7,OKEI,386
2011,апрель,3339.7,1580.6,1759.1,775.1,604.1,65.1,105.9,,625.3,414.3,12.6,198.4,358.7,3176.6,178.2,437.5,333.8,428.7,75.7,4.2,126.6,19.8,130.4,1069.5,14.9,19.3,91.8,246.2,163.1,-1417.5,-163.1,-140.4,539.9,355.6,411.9,-56.3,-58.7,-60.7,2.0,113.3,-130.3,-680.3,260.1,-22.7,0.5,-28.8,5.6,OKEI,386
2011,май,4200.0,2067.0,2133.0,925.9,706.9,84.8,134.2,,808.8,540.3,16.6,251.8,398.3,3814.8,223.7,537.3,414.7,514.6,91.9,5.3,162.5,23.7,154.5,1260.4,16.4,26.2,98.8,284.8,385.3,-1681.8,-385.3,-331.9,659.6,473.2,573.6,-100.4,-67.6,-71.7,4.2,113.7,-126.6,-991.5,266.8,-53.4,0.9,-59.9,5.6,OKEI,386
2011,июнь,5306.4,2540.4,2766.0,1155.8,889.0,105.7,161.1,,986.3,661.5,19.9,304.9,623.8,4602.9,307.9,625.8,513.6,603.9,107.6,6.5,215.0,30.1,188.3,1513.1,21.9,30.8,108.4,330.0,703.5,-1836.9,-703.5,-648.8,809.7,660.2,830.5,-170.4,-74.2,-78.6,4.4,114.1,-123.1,-1458.5,232.6,-54.7,1.2,-65.1,9.2,OKEI,386
2011,июль,6233.8,3019.8,3214.0,1361.5,1042.9,127.8,190.8,,1164.8,782.1,23.3,359.4,687.7,5477.6,367.3,758.7,602.6,748.1,120.0,7.8,279.8,37.2,223.3,1791.7,24.9,35.7,134.9,345.6,756.3,-2263.6,-756.3,-705.8,896.1,766.2,976.4,-210.2,-74.0,-81.1,7.1,114.7,-169.5,-1601.8,258.6,-50.5,1.4,-66.5,14.6,OKEI,386
2011,август,7220.2,3509.0,3711.2,1538.1,1150.1,148.0,239.9,,1368.9,923.1,27.3,418.4,804.3,6431.5,414.4,855.2,688.5,851.7,137.7,9.1,311.4,41.7,263.2,2218.0,27.4,38.0,164.2,411.0,788.7,-2720.3,-788.7,-737.5,1046.0,775.8,1001.2,-225.4,-90.2,-97.9,7.6,115.1,-23.3,-1783.5,268.7,-51.1,1.8,-67.3,14.4,OKEI,386
2011,сентябрь,8213.0,3989.9,4223.1,1772.4,1340.8,170.7,260.8,,1568.4,1056.7,31.2,480.5,882.3,7082.1,488.1,908.4,787.6,969.2,157.9,10.3,346.5,47.9,298.9,2298.7,31.5,40.3,215.2,481.6,1130.9,-2859.0,-1130.9,-1054.2,1265.1,779.9,1050.2,-270.4,-94.3,-103.1,8.8,115.5,186.8,-2319.3,277.2,-76.7,2.0,-93.3,14.6,OKEI,386
2011,октябрь,9240.8,4535.3,4705.5,1964.9,1485.1,191.9,287.9,,1778.6,1195.9,36.0,546.7,961.9,7818.0,543.4,1028.0,878.3,1093.8,170.0,11.8,388.1,54.6,329.8,2516.7,33.2,50.4,226.0,494.1,1422.8,-3112.5,-1422.8,-1343.8,1439.1,1084.6,1355.0,-270.4,-88.9,-109.7,20.8,118.5,41.4,-2782.9,283.4,-79.0,2.3,-95.6,14.2,OKEI,386
