indicator_code;region_slug;period;value
ceni-ai92;altayskiy-kray;200301;10.74
ceni-ai92;altayskiy-kray;200302;11.05
ceni-ai92;altayskiy-kray;200303;10.92
ceni-ai92;altayskiy-kray;200304;10.94
ceni-ai92;altayskiy-kray;200305;10.94
ceni-ai92;altayskiy-kray;200306;10.99
ceni-ai92;altayskiy-kray;200307;11.02
ceni-ai92;altayskiy-kray;200308;11.43
ceni-ai92;altayskiy-kray;200309;11.53
ceni-ai92;altayskiy-kray;200310;11.62
ceni-ai92;altayskiy-kray;200311;11.58
ceni-ai92;altayskiy-kray;200312;11.99
ceni-ai92;altayskiy-kray;200401;11.94
ceni-ai92;altayskiy-kray;200402;11.94
ceni-ai92;altayskiy-kray;200403;11.94
ceni-ai92;altayskiy-kray;200404;11.99
ceni-ai92;altayskiy-kray;200405;12.85
ceni-ai92;altayskiy-kray;200406;13.47
ceni-ai92;altayskiy-kray;200407;13.55
ceni-ai92;altayskiy-kray;200408;14.13
ceni-ai92;altayskiy-kray;200409;14.64
ceni-ai92;altayskiy-kray;200410;14.62
ceni-ai92;altayskiy-kray;200411;15.0
ceni-ai92;altayskiy-kray;200412;14.68
ceni-ai92;altayskiy-kray;200501;14.48
ceni-ai92;altayskiy-kray;200502;14.48
ceni-ai92;altayskiy-kray;200503;14.48
ceni-ai92;altayskiy-kray;200504;15.5
ceni-ai92;altayskiy-kray;200505;15.6
ceni-ai92;altayskiy-kray;200506;15.31
ceni-ai92;altayskiy-kray;200507;15.31
ceni-ai92;altayskiy-kray;200508;16.07
ceni-ai92;altayskiy-kray;200509;17.12
ceni-ai92;altayskiy-kray;200510;17.25
ceni-ai92;altayskiy-kray;200511;17.12
ceni-ai92;altayskiy-kray;200512;17.12
ceni-ai92;altayskiy-kray;200601;17.12
ceni-ai92;altayskiy-kray;200602;17.94
ceni-ai92;altayskiy-kray;200603;17.0
ceni-ai92;altayskiy-kray;200604;16.53
ceni-ai92;altayskiy-kray;200605;16.53
ceni-ai92;altayskiy-kray;200606;17.41
ceni-ai92;altayskiy-kray;200607;17.79
ceni-ai92;altayskiy-kray;200608;19.1
ceni-ai92;altayskiy-kray;200609;19.03
ceni-ai92;altayskiy-kray;200610;18.61
ceni-ai92;altayskiy-kray;200611;18.5
ceni-ai92;altayskiy-kray;200612;18.5
ceni-ai92;altayskiy-kray;200701;18.5
ceni-ai92;altayskiy-kray;200702;17.8
ceni-ai92;altayskiy-kray;200703;16.56
ceni-ai92;altayskiy-kray;200704;16.92
ceni-ai92;altayskiy-kray;200705;18.91
ceni-ai92;altayskiy-kray;200706;19.05
ceni-ai92;altayskiy-kray;200707;19.11
ceni-ai92;altayskiy-kray;200708;19.37
ceni-ai92;altayskiy-kray;200709;19.37
ceni-ai92;altayskiy-kray;200710;19.42
ceni-ai92;altayskiy-kray;200711;20.01
ceni-ai92;altayskiy-kray;200712;20.37
ceni-ai92;altayskiy-kray;200801;20.27
ceni-ai92;altayskiy-kray;200802;20.16
ceni-ai92;altayskiy-kray;200803;19.81
ceni-ai92;altayskiy-kray;200804;21.22
ceni-ai92;altayskiy-kray;200805;22.22
ceni-ai92;altayskiy-kray;200806;23.61
ceni-ai92;altayskiy-kray;200807;25.56
ceni-ai92;altayskiy-kray;200808;24.81
ceni-ai92;altayskiy-kray;200809;23.22
ceni-ai92;altayskiy-kray;200810;21.48
ceni-ai92;altayskiy-kray;200811;20.0
ceni-ai92;altayskiy-kray;200812;16.9
